time,short distance,hyper volume

<<<<<<< HEAD
13.584047,0.561704,0.514172
13.577241,0.566232,0.513436
13.581849,0.569174,0.513867
13.579351,0.570417,0.511246
13.581347,0.571438,0.516525
13.578342,0.567698,0.515105
13.584366,0.564155,0.510680
13.576777,0.567942,0.515869
13.582682,0.569046,0.508616
13.585683,0.567622,0.513135
13.573796,0.572031,0.511417
13.584042,0.569947,0.510637
13.583694,0.566810,0.518310
13.583627,0.567831,0.517392
13.581529,0.567888,0.514429
13.584509,0.565273,0.511730
13.580047,0.568866,0.515779
13.580072,0.568052,0.513778
13.583280,0.568095,0.509679
13.582697,0.571131,0.517755
13.587132,0.566307,0.513758
13.584155,0.568254,0.514012
13.582493,0.568338,0.511657
13.578694,0.563122,0.518077
13.581954,0.568891,0.510642
13.574095,0.565709,0.515854
13.582660,0.562256,0.515665
13.580378,0.564318,0.513818
13.584837,0.565382,0.512000
13.575413,0.562933,0.517622
13.585288,0.565797,0.512897
13.581553,0.570387,0.514692
13.584249,0.563081,0.512281
13.577353,0.570818,0.510243
13.582635,0.562890,0.510961
13.584740,0.566786,0.516047
13.577649,0.564150,0.513389
13.579709,0.568654,0.511261
13.584304,0.568196,0.513629
13.581081,0.561294,0.511772
13.582313,0.559756,0.519868
13.581370,0.565787,0.517239
13.578652,0.567352,0.516030
13.581556,0.562168,0.516630
13.581196,0.563293,0.517520
13.583066,0.565191,0.512902
13.581291,0.566286,0.514932
13.582443,0.564964,0.512336
13.578464,0.562067,0.515590
13.584599,0.562366,0.510898
13.583383,0.565132,0.511791
13.584234,0.569838,0.516828
13.586720,0.568629,0.509368
13.579922,0.569368,0.518678
13.584132,0.563591,0.514617
13.578165,0.567046,0.514198
13.578621,0.570108,0.512569
13.582316,0.569624,0.509101
13.587036,0.568736,0.513549
13.582960,0.568181,0.513877
13.578141,0.575059,0.514565
13.585217,0.562480,0.509695
13.582279,0.572407,0.514217
13.578871,0.572330,0.512563
13.581447,0.566453,0.520159
13.576884,0.569263,0.512105
13.583214,0.567209,0.514445
13.583912,0.570571,0.514514
13.579500,0.567501,0.516339
13.578544,0.567989,0.511779
13.582575,0.570610,0.516212
13.578614,0.569152,0.514371
13.583920,0.567352,0.517036
13.577611,0.571186,0.508552
13.581333,0.564294,0.515759
13.585861,0.563172,0.514270
13.581854,0.564982,0.515175
13.578824,0.561420,0.516969
13.582432,0.561130,0.518942
13.580778,0.566330,0.514258
13.585831,0.566443,0.515956
13.580451,0.562546,0.515745
13.586507,0.568180,0.514985
13.579911,0.567618,0.512131
13.580360,0.566424,0.514911
13.577522,0.566084,0.516148
13.578070,0.567275,0.516918
13.580099,0.572764,0.513866
13.578829,0.568584,0.516265
13.584806,0.572677,0.515661
13.587439,0.567336,0.509743
13.576760,0.566428,0.515222
13.585460,0.566043,0.515665
13.580673,0.561427,0.514089
13.579031,0.564622,0.514971
13.587835,0.570830,0.513420
13.576280,0.570331,0.513263
13.580067,0.563376,0.514131
13.582397,0.570023,0.513644
13.582423,0.566402,0.517969
=======
1.979254,0.600615,0.484111
1.979582,0.600139,0.485892
1.979248,0.600368,0.490180
1.979271,0.591496,0.487250
1.979237,0.593502,0.487121
1.979426,0.599829,0.488713
1.978872,0.586903,0.489806
1.978928,0.596846,0.487651
1.979230,0.594667,0.485317
1.979467,0.596293,0.490915
1.979237,0.595775,0.485378
1.979048,0.592419,0.489998
1.979281,0.591229,0.489007
1.979359,0.589514,0.486281
1.979381,0.590885,0.489815
1.979186,0.595729,0.487292
1.979476,0.591534,0.492797
1.979732,0.587572,0.487997
1.979271,0.600537,0.483947
1.979346,0.593609,0.488694
1.979615,0.591672,0.487891
1.979235,0.591306,0.488070
1.979141,0.595913,0.488751
1.979034,0.595694,0.488621
1.979434,0.595886,0.486807
1.979378,0.594494,0.486491
1.979024,0.594498,0.487687
1.979233,0.598092,0.483769
1.979125,0.592353,0.489855
1.979430,0.594626,0.489950
1.979096,0.589720,0.482818
1.979162,0.594633,0.483700
1.979887,0.596898,0.490433
1.979166,0.600639,0.486456
1.979270,0.591960,0.485871
1.979339,0.596012,0.490294
1.979188,0.597298,0.492581
1.979517,0.591679,0.487069
1.979554,0.595506,0.487485
1.979268,0.591288,0.488133
1.979240,0.594495,0.482487
1.979287,0.599995,0.484496
1.979406,0.592246,0.485680
1.979677,0.592940,0.486825
1.979412,0.594940,0.487119
1.979596,0.594791,0.485347
1.979576,0.598557,0.486180
1.979519,0.590657,0.486536
1.979282,0.590855,0.489056
1.979116,0.588511,0.488636
1.979627,0.598830,0.492107
1.979746,0.597691,0.483202
1.979648,0.589821,0.485779
1.979685,0.593278,0.490603
1.979551,0.599428,0.484190
1.979555,0.593884,0.488425
1.979762,0.596744,0.484322
1.979502,0.597584,0.486073
1.979346,0.591863,0.486445
1.979551,0.594074,0.489961
1.979199,0.598397,0.484594
1.979026,0.588817,0.485498
1.979545,0.597395,0.485647
1.979505,0.593217,0.488929
1.979503,0.602101,0.483653
1.979231,0.595351,0.488188
1.979258,0.594597,0.488378
1.978931,0.603345,0.482791
1.979021,0.592371,0.485676
1.979362,0.595020,0.488409
1.979092,0.598784,0.488952
1.979044,0.589665,0.487790
1.979373,0.595915,0.486074
1.979693,0.597805,0.481482
1.979208,0.591102,0.490908
1.979420,0.592135,0.488464
1.979140,0.596832,0.486193
1.978892,0.590249,0.488826
1.979607,0.581724,0.486810
1.979389,0.591376,0.490676
1.979506,0.592778,0.487873
1.979454,0.598889,0.489476
1.979504,0.598676,0.484853
1.979372,0.596019,0.491965
1.979437,0.596878,0.487156
1.979311,0.599604,0.486406
1.979569,0.594528,0.487143
1.980031,0.589869,0.492758
1.979131,0.599155,0.486403
1.979293,0.597455,0.484681
1.979390,0.591645,0.485246
1.979519,0.600309,0.484302
1.979342,0.597801,0.486031
1.979668,0.594441,0.489846
1.979627,0.597377,0.487336
1.979289,0.595100,0.486459
1.979481,0.594493,0.489107
1.979185,0.592853,0.484773
1.979440,0.597424,0.491751
1.979234,0.592514,0.485538
>>>>>>> origin/HEAD
