time,short distance,hyper volume

193.245255,0.471446,0.598847
193.236465,0.471489,0.600476
193.237167,0.467954,0.595229
193.249619,0.473003,0.597023
193.245621,0.469898,0.597234
193.260986,0.466700,0.601594
193.250198,0.473012,0.600213
193.259628,0.468921,0.596300
193.251907,0.474219,0.599298
193.251511,0.477148,0.601712
193.242599,0.475145,0.595998
193.259674,0.471463,0.601446
193.222900,0.469396,0.597293
193.233780,0.469645,0.602751
193.260483,0.472622,0.592663
193.225723,0.476362,0.598746
193.258255,0.468400,0.596481
193.245255,0.472236,0.597704
193.244431,0.470042,0.596921
193.235825,0.474490,0.599533
193.243835,0.472077,0.596233
193.235168,0.474610,0.599724
193.256943,0.474529,0.598534
193.260101,0.471662,0.595082
193.237305,0.470511,0.595466
193.247025,0.471142,0.595995
193.250824,0.475005,0.592878
193.256973,0.472609,0.601516
193.263901,0.476650,0.596183
193.235397,0.473133,0.594144
193.236694,0.470635,0.600740
193.251999,0.477800,0.593323
193.238297,0.475245,0.594338
193.244598,0.469506,0.594938
193.241104,0.468192,0.595946
193.256195,0.472607,0.593696
193.268173,0.472615,0.599930
193.265900,0.471283,0.594361
193.249146,0.469654,0.599660
193.255295,0.473976,0.597412
193.224380,0.473558,0.599396
193.223724,0.470783,0.598548
193.255844,0.472936,0.597684
193.238449,0.468193,0.596836
193.236801,0.470011,0.597379
193.230759,0.475822,0.593729
193.231995,0.473259,0.594396
193.230881,0.469383,0.599002
193.256027,0.473397,0.596986
193.244263,0.475799,0.588326
193.243668,0.471346,0.595892
193.239090,0.473031,0.590023
193.246185,0.472970,0.600842
193.226273,0.475384,0.590865
193.240829,0.471452,0.599556
193.248535,0.476159,0.594012
193.242081,0.470120,0.600662
193.261200,0.473847,0.599038
193.248871,0.469983,0.594824
193.248398,0.474524,0.598826
193.214676,0.462394,0.599835
193.230988,0.474349,0.591480
193.230209,0.472777,0.596264
193.241730,0.475623,0.595195
193.230576,0.473978,0.601627
193.236755,0.473763,0.594265
193.235764,0.469299,0.595405
193.234116,0.471241,0.590164
193.234772,0.473072,0.600249
193.234589,0.472874,0.598559
193.220673,0.472791,0.593373
193.236435,0.468825,0.600719
193.240097,0.474121,0.596199
193.241791,0.474096,0.599864
193.243347,0.472406,0.600249
193.238281,0.474693,0.596429
193.252670,0.470488,0.591778
193.239792,0.473509,0.597635
193.228973,0.473821,0.600823
193.259995,0.471291,0.594551
193.250381,0.471014,0.599261
193.257416,0.472246,0.598354
193.225098,0.474468,0.596077
193.239426,0.472445,0.595024
193.245804,0.471008,0.591462
193.232422,0.469660,0.594577
193.222778,0.472054,0.597276
193.268143,0.474068,0.592758
193.253204,0.474506,0.600815
193.247772,0.471979,0.596257
193.244019,0.467734,0.597177
193.253555,0.469726,0.601335
193.235657,0.472312,0.592297
193.242676,0.464893,0.598665
193.241943,0.469295,0.589391
193.259094,0.476105,0.593731
193.238663,0.474591,0.591903
193.243530,0.477549,0.595928
193.251801,0.470577,0.596886
193.251541,0.467628,0.600034
