time,short distance,hyper volume

1.759188,0.584981,0.485915
1.759178,0.589569,0.484849
1.759510,0.579300,0.489951
1.759606,0.585693,0.484776
1.759054,0.588621,0.483956
1.759581,0.587047,0.485961
1.759457,0.585123,0.489394
1.759328,0.578951,0.487931
1.759000,0.584732,0.486859
1.759401,0.583419,0.483719
1.759690,0.578087,0.487007
1.759344,0.583241,0.483567
1.759080,0.585610,0.486411
1.759559,0.587416,0.489012
1.760102,0.579225,0.483409
1.759654,0.587201,0.485322
1.759845,0.584786,0.491154
1.759261,0.581481,0.486099
1.759325,0.578344,0.485701
1.759339,0.589106,0.489583
1.759404,0.589384,0.488661
1.759175,0.581178,0.484362
1.759182,0.582831,0.487428
1.759840,0.578841,0.488464
1.759212,0.580700,0.489979
1.759169,0.582643,0.489071
1.759183,0.582384,0.483855
1.759476,0.582028,0.484989
1.759209,0.581919,0.486053
1.759195,0.586576,0.483188
1.759629,0.585349,0.488873
1.759429,0.580451,0.484482
1.759375,0.582607,0.486995
1.759145,0.588733,0.489315
1.759103,0.575982,0.490262
1.759142,0.585312,0.484250
1.759372,0.582916,0.484024
1.759453,0.584569,0.485906
1.759565,0.578504,0.482320
1.759497,0.584569,0.483947
1.759056,0.587141,0.485585
1.758881,0.582926,0.485514
1.759591,0.586768,0.493271
1.759362,0.582844,0.489931
1.758918,0.582478,0.487366
1.759073,0.583948,0.488596
1.759337,0.582444,0.488647
1.758925,0.586340,0.482423
1.759269,0.583241,0.487794
1.759192,0.580363,0.488625
1.758965,0.589973,0.485979
1.759602,0.583993,0.481109
1.759426,0.585270,0.485971
1.759149,0.576274,0.490883
1.759438,0.578436,0.490505
1.759367,0.589769,0.487907
1.759285,0.590082,0.486820
1.759818,0.582110,0.486329
1.759224,0.583817,0.482520
1.759706,0.585886,0.486780
1.759344,0.585590,0.482662
1.759284,0.582154,0.488441
1.759377,0.586683,0.490101
1.759369,0.581909,0.483716
1.758890,0.582284,0.486262
1.759876,0.582690,0.487765
1.759381,0.579073,0.484966
1.759889,0.586044,0.486561
1.759276,0.588773,0.487686
1.759430,0.582530,0.487422
1.759084,0.586277,0.487514
1.759274,0.584650,0.488833
1.759488,0.582076,0.486910
1.759510,0.588971,0.485744
1.759683,0.586037,0.484280
1.759340,0.577903,0.488843
1.759517,0.586322,0.488154
1.759499,0.587052,0.489644
1.759151,0.578156,0.489734
1.759719,0.587045,0.485564
1.759065,0.571103,0.480337
1.759235,0.590827,0.482829
1.759397,0.581547,0.487145
1.759125,0.584550,0.486086
1.759346,0.584814,0.488155
1.758810,0.584716,0.488705
1.759326,0.578498,0.487048
1.759116,0.584487,0.485207
1.759496,0.587011,0.486106
1.758968,0.586618,0.482824
1.759809,0.584900,0.483642
1.759507,0.583947,0.488146
1.759230,0.586129,0.488052
1.759041,0.587702,0.491592
1.759300,0.586565,0.487946
1.759171,0.586973,0.488237
1.759432,0.578924,0.488143
1.759290,0.585120,0.485740
1.759474,0.582950,0.490054
1.759461,0.582211,0.483135
