time,short distance,hyper volume

0.528285,0.582669,0.502567
0.529805,0.585184,0.511403
0.527845,0.578091,0.505079
0.526188,0.580849,0.505973
0.535552,0.574862,0.496158
0.528393,0.586446,0.500748
0.526988,0.582697,0.510422
0.526508,0.579723,0.505685
0.530212,0.578377,0.505285
0.527579,0.571980,0.506036
0.527716,0.563641,0.503363
0.528087,0.584878,0.506817
0.528224,0.581112,0.506125
0.530169,0.585467,0.502276
0.534805,0.571080,0.510522
0.527841,0.578072,0.509840
0.529339,0.575184,0.510217
0.527055,0.580788,0.507513
0.525886,0.583986,0.509913
0.528974,0.573700,0.512181
0.527633,0.576745,0.510449
0.529049,0.577550,0.504470
0.527492,0.572654,0.507675
0.527355,0.582846,0.503661
0.535368,0.581276,0.507927
0.526458,0.574692,0.509637
0.528652,0.578722,0.506614
0.527715,0.581932,0.508693
0.528388,0.580873,0.500250
0.526609,0.578927,0.506782
0.526553,0.590385,0.505549
0.527291,0.573885,0.509324
0.527261,0.581092,0.508362
0.527722,0.579230,0.505256
0.527850,0.587285,0.508615
0.529665,0.577462,0.505234
0.525555,0.575832,0.508306
0.526762,0.576347,0.507614
0.526576,0.573554,0.504983
0.530084,0.576181,0.505588
0.528068,0.582296,0.505550
0.530206,0.579237,0.506955
0.529296,0.573343,0.509217
0.529436,0.582118,0.511343
0.534595,0.578462,0.504976
0.526000,0.582787,0.506392
0.530111,0.582766,0.505034
0.526921,0.571302,0.503493
0.525325,0.581974,0.509016
0.529099,0.582621,0.507384
0.527108,0.585655,0.503845
0.530245,0.584937,0.504958
0.528748,0.577554,0.504794
0.529522,0.584856,0.510312
0.535633,0.578618,0.509703
0.530253,0.584750,0.501801
0.526473,0.582968,0.510505
0.530205,0.581774,0.504108
0.525735,0.578850,0.511289
0.530030,0.580198,0.503956
0.529152,0.580885,0.506231
0.528959,0.577143,0.513443
0.526528,0.580669,0.500804
0.530229,0.583735,0.506560
0.527770,0.581497,0.504322
0.525960,0.571722,0.506047
0.530311,0.579854,0.507208
0.526471,0.583264,0.504738
0.528926,0.576484,0.507744
0.528588,0.582106,0.510457
0.527254,0.579034,0.513986
0.526672,0.580553,0.496403
0.527798,0.576744,0.507642
0.530124,0.581218,0.507190
0.534002,0.573084,0.505228
0.527187,0.578431,0.506329
0.527118,0.578300,0.507378
0.526183,0.584466,0.507987
0.526708,0.585811,0.504806
0.526939,0.578752,0.507949
0.527108,0.579890,0.505362
0.526681,0.578159,0.507154
0.527108,0.576226,0.508939
0.527015,0.572719,0.504443
0.537308,0.577611,0.512588
0.528322,0.583222,0.502556
0.528113,0.576331,0.508928
0.528278,0.574941,0.511855
0.527007,0.578212,0.504262
0.526685,0.581182,0.503538
0.528087,0.580215,0.508716
0.526461,0.583192,0.502758
0.528445,0.583546,0.499653
0.526460,0.583161,0.511611
0.527491,0.582368,0.501791
0.526135,0.583595,0.507792
0.526503,0.584755,0.508644
0.527815,0.577873,0.505131
0.527817,0.581652,0.505818
0.527515,0.580152,0.509124
